organization,work_area,name,latitude,longitude,depth,depth_source,watershid_id,lake_id
HAKAI,CALVERT,1015 UPSTREAM,,,,,1015,1015
HAKAI,CALVERT,10208937,,,,,,
HAKAI,CALVERT,10311645,,,,,,
HAKAI,CALVERT,1043625,,,,,,
HAKAI,CALVERT,1043721,,,,,,
HAKAI,CALVERT,1050633,,,,,,
HAKAI,CALVERT,10508409,,,,,,
HAKAI,CALVERT,1056969,,,,,,
HAKAI,CALVERT,1057977,,,,,,
HAKAI,CALVERT,1058 OUTLET,,,,,,
HAKAI,CALVERT,1066089,,,,,,
HAKAI,CALVERT,1084125,,,,,,
HAKAI,CALVERT,10969785,,,,,,
HAKAI,CALVERT,11380521,,,,,,
HAKAI,CALVERT,1147402,,,,,,
HAKAI,CALVERT,1184553,51.8656,-128.238912,0.0,chart,,
HAKAI,CALVERT,12019113,51.8363000000001,-128.188167,2.0,chart,,
HAKAI,CALVERT,1230249,51.9165300000001,-128.19315,39.0,CHS NONNA10 Bathymetry,,
HAKAI,CALVERT,1237113,,,,,,
HAKAI,CALVERT,1261353,,,,,,
HAKAI,CALVERT,12969,,,,,,
HAKAI,CALVERT,1306809,51.4847800000001,-127.664617,0.0,chart,,
HAKAI,CALVERT,1325241,,,,,,
HAKAI,CALVERT,132969,52.0801000000001,-128.3215,25.0,CHS and NRCan Multibeam Echo Sounder Bathymetry,,
HAKAI,CALVERT,1400121,,,,,,
HAKAI,CALVERT,1405305,,,,,,
HAKAI,CALVERT,1427241,,,,,,
HAKAI,CALVERT,1443321,,,,,,
HAKAI,CALVERT,14453001,,,,,,
HAKAI,CALVERT,14456457,,,,,,
HAKAI,CALVERT,14714793,51.8638,-128.173767,1.0,chart,,
HAKAI,CALVERT,151005,52.0100800000001,-128.476256,37.0,CHS and NRCan Multibeam Echo Sounder Bathymetry,,
HAKAI,CALVERT,1525725,51.8622800000001,-128.445504,15.0,chart,,
HAKAI,CALVERT,1557801,,,,,,
HAKAI,CALVERT,1558665,51.6908100000001,-128.073256,0.0,chart,,
HAKAI,CALVERT,1648521,,,,,,
HAKAI,CALVERT,1695145,,,,,,
HAKAI,CALVERT,1710729,,,,,,
HAKAI,CALVERT,1738377,,,,,,
HAKAI,CALVERT,1743993,,,,,,
HAKAI,CALVERT,1776393,,,,,,
HAKAI,CALVERT,1809885,,,,,,
HAKAI,CALVERT,18568521,51.4415000000001,-127.971167,1.0,chart,,
HAKAI,CALVERT,1900809,51.65432,-128.108445,34.0,CHS NONNA10 Bathymetry,,
HAKAI,CALVERT,1907721,,,,,,
HAKAI,CALVERT,1924905,,,,,,
HAKAI,CALVERT,1947465,,,,,,
HAKAI,CALVERT,1972521,,,,,,
HAKAI,CALVERT,1976841,,,,,,
HAKAI,CALVERT,1991097,,,,,,
HAKAI,CALVERT,2013129,,,,,,
HAKAI,CALVERT,2044665,,,,,,
HAKAI,CALVERT,20612 OUTLET,51.36580122,-127.768549,1.0,chart,20612,20612
HAKAI,CALVERT,20613 OUTLET,51.3687,-127.7573,,land,20613,20613
HAKAI,CALVERT,20615 OUTLET,51.37650532,-127.7449311,,land,20615,20615
HAKAI,CALVERT,20623 OUTLET,51.3950262000001,-127.7073025,,land,20623,20623
HAKAI,CALVERT,20636 OUTLET,51.3770476500001,-127.6607934,,land,20636,20636
HAKAI,CALVERT,20642 OUTLET,51.43074425,-127.6292547,,land,20642,20642
HAKAI,CALVERT,20643 OUTLET,51.4659907700001,-127.5814722,,land,20643,20643
HAKAI,CALVERT,2065833,,,,,,
HAKAI,CALVERT,2070585,51.60628,-127.731173,0.0,chart,,
HAKAI,CALVERT,2071785,,,,,,
HAKAI,CALVERT,20718 OUTLET,51.491914347,-127.535503698,,land,20718,20718
HAKAI,CALVERT,20720 OUTLET,51.5352903500001,-127.516309,,land,20720,20720
HAKAI,CALVERT,20722 OUTLET,51.5685330000001,-127.514507,,land,20722,20722
HAKAI,CALVERT,20726 OUTLET,51.6239835100001,-127.4746435,,land,20726,20726
HAKAI,CALVERT,20727 OUTLET,51.6311479,-127.4515056,,land,20727,20727
HAKAI,CALVERT,20741 OUTLET,51.6509209800001,-127.355236,,land,20741,20741
HAKAI,CALVERT,20747 OUTLET,51.6665165900001,-127.3125451,,land,20747,20747
HAKAI,CALVERT,20754 OUTLET,51.67008301,-127.260025,,land,20754,20754
HAKAI,CALVERT,20760 OUTLET,51.6875702780001,-127.290100621,,land,20760,20760
HAKAI,CALVERT,20771C OUTLET,51.7300000000001,-127.33,,land,20771C,20771C
HAKAI,CALVERT,20771K OUTLET,51.7500000000001,-127.33,,land,20771K,20771K
HAKAI,CALVERT,20812 OUTLET,,,,,20812,20812
HAKAI,CALVERT,20938 OUTLET,51.646504,-127.504727,,land,20938,20938
HAKAI,CALVERT,20940 OUTLET,51.6413554600001,-127.5495886,,land,20940,20940
HAKAI,CALVERT,20947 OUTLET,51.5561300900001,-127.6145751,,land,20947,20947
HAKAI,CALVERT,20948 OUTLET,,,,,20948,20948
HAKAI,CALVERT,20952 OUTLET,51.536994335,-127.687488562,,land,20952,20952
HAKAI,CALVERT,20954 OUTLET,51.5376489320001,-127.746600987,,land,20954,20954
HAKAI,CALVERT,20980 OUTLET,51.6359498410001,-127.715404179,,land,20980,20980
HAKAI,CALVERT,2128041,,,,,,
HAKAI,CALVERT,2170377,51.73373,-128.137283,15.0,chart,,
HAKAI,CALVERT,2305065,,,,,,
HAKAI,CALVERT,236649,,,,,,
HAKAI,CALVERT,2367273,,,,,,
HAKAI,CALVERT,2459613,,,,,,
HAKAI,CALVERT,2562537,,,,,,
HAKAI,CALVERT,2571705,,,,,,
HAKAI,CALVERT,26410 OUTLET,51.6436800000001,-128.1497,,land,26410,26410
HAKAI,CALVERT,26468 OUTLET,51.6226300000001,-127.9346,,land,26468,26468
HAKAI,CALVERT,2650665,,,,,,
HAKAI,CALVERT,2659401,,,,,,
HAKAI,CALVERT,26812 OUTLET,51.5483919600001,-127.6022895,,land,26812,26812
HAKAI,CALVERT,2737593,,,,,,
HAKAI,CALVERT,2752137,,,,,,
HAKAI,CALVERT,2830473,,,,,,
HAKAI,CALVERT,2882745,,,,,,
HAKAI,CALVERT,2981241,,,,,,
HAKAI,CALVERT,2NDBEACH,,,,,,
HAKAI,CALVERT,3016521,,,,,,
HAKAI,CALVERT,3048633,,,,,,
HAKAI,CALVERT,3109113,,,,,,
HAKAI,CALVERT,313209,51.62661,-127.756675,,land,,
HAKAI,CALVERT,317865,,,,,,
HAKAI,CALVERT,3188601,51.489,-127.750333,2.0,chart,,
HAKAI,CALVERT,3203721,51.7609100000001,-128.061879,0.0,chart,,
HAKAI,CALVERT,3226617,,,,,,
HAKAI,CALVERT,32733,,,,,,
HAKAI,CALVERT,3296457,,,,,,
HAKAI,CALVERT,3334953,,,,,,
HAKAI,CALVERT,33501,,,,,,
HAKAI,CALVERT,3366057,,,,,,
HAKAI,CALVERT,3406557,,,,,,
HAKAI,CALVERT,342153,,,,,,
HAKAI,CALVERT,34569,51.6459400000001,-128.095816,0.0,chart,,
HAKAI,CALVERT,3533673,,,,,,
HAKAI,CALVERT,3577401,,,,,,
HAKAI,CALVERT,3931209,,,,,,
HAKAI,CALVERT,3957033,,,,,,
HAKAI,CALVERT,3970957,,,,,,
HAKAI,CALVERT,3986505,,,,,,
HAKAI,CALVERT,399609,,,,,,
HAKAI,CALVERT,39969,51.59828,-127.832517,3.0,CHS and NRCan Multibeam Echo Sounder Bathymetry,,
HAKAI,CALVERT,4002057,51.8079000000001,-128.117183,30.0,chart,,
HAKAI,CALVERT,4083273,,,,,,
HAKAI,CALVERT,4091817,,,,,,
HAKAI,CALVERT,41481,,,,,,
HAKAI,CALVERT,4155753,,,,,,
HAKAI,CALVERT,4180905,,,,,,
HAKAI,CALVERT,4205865,,,,,,
HAKAI,CALVERT,4249593,,,,,,
HAKAI,CALVERT,4319913,,,,,,
HAKAI,CALVERT,4372281,51.62618,-127.690512,5.0,chart,,
HAKAI,CALVERT,437625,51.61048,-127.779069,5.0,chart,,
HAKAI,CALVERT,4475433,,,,,,
HAKAI,CALVERT,450057,,,,,,
HAKAI,CALVERT,4574889,,,,,,
HAKAI,CALVERT,4653417,,,,,,
HAKAI,CALVERT,4662057,,,,,,
HAKAI,CALVERT,4665609,,,,,,
HAKAI,CALVERT,466569,,,,,,
HAKAI,CALVERT,468729,,,,,,
HAKAI,CALVERT,4694841,,,,,,
HAKAI,CALVERT,4717449,,,,,,
HAKAI,CALVERT,4719609,,,,,,
HAKAI,CALVERT,4745513,,,,,,
HAKAI,CALVERT,476073,,,,,,
HAKAI,CALVERT,4840041,,,,,,
HAKAI,CALVERT,4865193,,,,,,
HAKAI,CALVERT,4865913,,,,,,
HAKAI,CALVERT,4899753,51.7315,-128.166683,20.0,chart,,
HAKAI,CALVERT,4980009,,,,,,
HAKAI,CALVERT,5072121,51.62138,-127.841,15.0,chart,,
HAKAI,CALVERT,5101065,,,,,,
HAKAI,CALVERT,5149353,,,,,,
HAKAI,CALVERT,5157129,,,,,,
HAKAI,CALVERT,5270265,51.3585800000001,-127.8042,30.0,chart,,
HAKAI,CALVERT,529209,51.4927700000001,-127.680083,10.0,chart,,
HAKAI,CALVERT,5356713,,,,,,
HAKAI,CALVERT,536 OUTLET,,,,,,
HAKAI,CALVERT,545961,,,,,,
HAKAI,CALVERT,556 OUTLET,,,,,,
HAKAI,CALVERT,5694633,,,,,,
HAKAI,CALVERT,570 OUTLET,,,,,,
HAKAI,CALVERT,579 OUTLET,,,,,,
HAKAI,CALVERT,5835321,,,,,,
HAKAI,CALVERT,590 OUTLET,,,,,,
HAKAI,CALVERT,5941305,51.5022000000001,-127.725333,5.0,chart,,
HAKAI,CALVERT,595 OUTLET,,,,,,
HAKAI,CALVERT,596829,,,,,,
HAKAI,CALVERT,5BCH,,,,,,
HAKAI,CALVERT,5BCH_A,,,,,,
HAKAI,CALVERT,5BCH_B,,,,,,
HAKAI,CALVERT,5BCH_C,,,,,,
HAKAI,CALVERT,6057,,,,,,
HAKAI,CALVERT,6161193,,,,,,
HAKAI,CALVERT,6179337,,,,,,
HAKAI,CALVERT,618633,,,,,,
HAKAI,CALVERT,6214665,,,,,,
HAKAI,CALVERT,626 1,,,,,,
HAKAI,CALVERT,626 2,,,,,,
HAKAI,CALVERT,626 3,,,,,,
HAKAI,CALVERT,626 3P,,,,,,
HAKAI,CALVERT,626 4,,,,,,
HAKAI,CALVERT,626 5,,,,,,
HAKAI,CALVERT,626 6,,,,,,
HAKAI,CALVERT,626 6S,,,,,,
HAKAI,CALVERT,626 7,,,,,,
HAKAI,CALVERT,626 7S,,,,,,
HAKAI,CALVERT,626 8,,,,,,
HAKAI,CALVERT,626 8S,,,,,,
HAKAI,CALVERT,626 A,,,,,,
HAKAI,CALVERT,626 B,,,,,,
HAKAI,CALVERT,626 C,,,,,,
HAKAI,CALVERT,626 D,,,,,,
HAKAI,CALVERT,626 DISCHARGEDS,,,,,626,626
HAKAI,CALVERT,626 E,,,,,,
HAKAI,CALVERT,626 ES,,,,,,
HAKAI,CALVERT,626 OUTLET,51.641718,-128.120582,,land,,
HAKAI,CALVERT,626 RSL,,,,,,
HAKAI,CALVERT,626 SSN626US,,,,,626,626
HAKAI,CALVERT,626 WTW22,,,,,,
HAKAI,CALVERT,626 WTW23,,,,,,
HAKAI,CALVERT,626 WTW24,,,,,,
HAKAI,CALVERT,635049,,,,,,
HAKAI,CALVERT,646 OUTLET,,,,,,
HAKAI,CALVERT,6490377,51.8332500000001,-128.113117,30.0,chart,,
HAKAI,CALVERT,656 OUTLET,,,,,,
HAKAI,CALVERT,659 OUTLET,,,,,,
HAKAI,CALVERT,669405,,,,,,
HAKAI,CALVERT,671 OUTLET,,,,,,
HAKAI,CALVERT,6715017,,,,,,
HAKAI,CALVERT,6784041,,,,,,
HAKAI,CALVERT,683001,,,,,,
HAKAI,CALVERT,684729,,,,,,
HAKAI,CALVERT,693 1,,,,,,
HAKAI,CALVERT,693 2,,,,,,
HAKAI,CALVERT,693 3,,,,,,
HAKAI,CALVERT,693 4,,,,,,
HAKAI,CALVERT,693 4P,,,,,,
HAKAI,CALVERT,693 5,,,,,,
HAKAI,CALVERT,693 6,,,,,,
HAKAI,CALVERT,693 892,,,,,,
HAKAI,CALVERT,693 892 BELOWTHERMOCLINE,,,,,693,892
HAKAI,CALVERT,693 892 BOTTOM,51.6424000000001,-127.99696,,,693,892
HAKAI,CALVERT,693 892 INLETEAST,,,,,693,892
HAKAI,CALVERT,693 892 INLETS,51.64125999,-127.999103,,land,693,892
HAKAI,CALVERT,693 892 INLETSE,51.64106302,-127.994972,,land,693,892
HAKAI,CALVERT,693 892 INLETSOUTH,,,,,693,892
HAKAI,CALVERT,693 892 INLETSOUTHEAST,,,,,693,892
HAKAI,CALVERT,693 892 OUTLET,51.6452090000001,-127.998269,,land,693,892
HAKAI,CALVERT,693 892 PHOTIC,,,,,693,892
HAKAI,CALVERT,693 892 SURFACE,51.6424000000001,-127.99696,,,693,892
HAKAI,CALVERT,693 892 THERMO,,,,,693,892
HAKAI,CALVERT,693 892_BOTTOM,,,,,,
HAKAI,CALVERT,693 892_INLETEAST,,,,,,
HAKAI,CALVERT,693 892_INLETSOUTH,,,,,,
HAKAI,CALVERT,693 892_OUTLET,,,,,,
HAKAI,CALVERT,693 892_SURFACE,,,,,,
HAKAI,CALVERT,693 8S,,,,,,
HAKAI,CALVERT,693 931,,,,,,
HAKAI,CALVERT,693 931 BOTTOM,51.6378330000001,-128.00194,,,693,931
HAKAI,CALVERT,693 931 INLET,51.6358653460001,-127.99906505,,land,693,931
HAKAI,CALVERT,693 931 OUTLET,51.6396319,-128.000564,,land,693,931
HAKAI,CALVERT,693 931 SURFACE,51.6378330000001,-128.00194,,,693,931
HAKAI,CALVERT,693 931_BOTTOM,,,,,,
HAKAI,CALVERT,693 931_INLET,,,,,,
HAKAI,CALVERT,693 931_OUTLET,,,,,,
HAKAI,CALVERT,693 931_SURFACE,,,,,,
HAKAI,CALVERT,693 964,,,,,,
HAKAI,CALVERT,693 964 INLETSOUTH,51.6321490390001,-127.990610321,,land,693,964
HAKAI,CALVERT,693 964 INLETWEST,51.6324200000001,-127.993354,,land,693,964
HAKAI,CALVERT,693 964 OUTLET,51.6339570000001,-127.992874,,land,693,964
HAKAI,CALVERT,693 964_INLETSOUTH,,,,,,
HAKAI,CALVERT,693 964_INLETWEST,,,,,,
HAKAI,CALVERT,693 964_OUTLET,,,,,,
HAKAI,CALVERT,693 984,,,,,,
HAKAI,CALVERT,693 984 BOTTOM,51.6310390000001,-127.977802,,,693,984
HAKAI,CALVERT,693 984 INLET,51.629867,-127.97469,,land,693,984
HAKAI,CALVERT,693 984 OUTLET,51.631246,-127.98646,,land,693,984
HAKAI,CALVERT,693 984 SURFACE,51.6310390000001,-127.977802,,,693,984
HAKAI,CALVERT,693 984_BOTTOM,,,,,,
HAKAI,CALVERT,693 984_INLET,,,,,,
HAKAI,CALVERT,693 984_OUTLET,,,,,,
HAKAI,CALVERT,693 984_SURFACE,,,,,,
HAKAI,CALVERT,693 A,,,,,,
HAKAI,CALVERT,693 B,,,,,,
HAKAI,CALVERT,693 BELOWTHERMOCLINE,,,,,693,693
HAKAI,CALVERT,693 BOTTOM,,,,,,
HAKAI,CALVERT,693 C,,,,,,
HAKAI,CALVERT,693 D,,,,,,
HAKAI,CALVERT,693 DISCHARGEUS,,,,,693,693
HAKAI,CALVERT,693 ES,,,,,,
HAKAI,CALVERT,693 H2,,,,,,
HAKAI,CALVERT,693 H2 BOTTOM,,,,,,
HAKAI,CALVERT,693 H2 INLET,,,,,,
HAKAI,CALVERT,693 H2 OUTLET,,,,,,
HAKAI,CALVERT,693 H2 SURFACE,,,,,,
HAKAI,CALVERT,693 H2BOTTOM,,,,,693,693
HAKAI,CALVERT,693 H2INLET,,,,,693,693
HAKAI,CALVERT,693 H2OUTLET,,,,,693,693
HAKAI,CALVERT,693 H2SURFACE,,,,,693,693
HAKAI,CALVERT,693 H3,,,,,,
HAKAI,CALVERT,693 H3 INLET,,,,,,
HAKAI,CALVERT,693 H3 OUTLET,,,,,,
HAKAI,CALVERT,693 H3INLET,,,,,693,693
HAKAI,CALVERT,693 H3OUTLET,,,,,693,693
HAKAI,CALVERT,693 H4,,,,,,
HAKAI,CALVERT,693 H4 INLET WEST,,,,,,
HAKAI,CALVERT,693 H4 OUTLET,,,,,,
HAKAI,CALVERT,693 H4 SOUTH INLET,,,,,,
HAKAI,CALVERT,693 H4INLETWEST,,,,,693,693
HAKAI,CALVERT,693 H4OUTLET,,,,,693,693
HAKAI,CALVERT,693 H4SOUTHINLET,,,,,693,693
HAKAI,CALVERT,693 H5,,,,,,
HAKAI,CALVERT,693 H5 BOTTOM,,,,,,
HAKAI,CALVERT,693 H5 INLET,,,,,,
HAKAI,CALVERT,693 H5 OUTLET,,,,,,
HAKAI,CALVERT,693 H5 SURFACE,,,,,,
HAKAI,CALVERT,693 H5-INLET E,,,,,,
HAKAI,CALVERT,693 H5-INLET S,,,,,,
HAKAI,CALVERT,693 H5-OUTLET,,,,,,
HAKAI,CALVERT,693 H5-SURFACE,,,,,,
HAKAI,CALVERT,693 H5BOTTOM,,,,,693,693
HAKAI,CALVERT,693 H5INLET,,,,,,
HAKAI,CALVERT,693 H5INLETE,,,,,693,693
HAKAI,CALVERT,693 H5INLETS,,,,,693,693
HAKAI,CALVERT,693 H5OUTLET,,,,,,
HAKAI,CALVERT,693 H5SURFACE,,,,,,
HAKAI,CALVERT,693 INLETS,51.64125999,-127.999103,,,,
HAKAI,CALVERT,693 INLETSE,51.64106302,-127.994972,,,,
HAKAI,CALVERT,693 OUTLET,51.647923,-127.996399,,land,,
HAKAI,CALVERT,693 PHOTIC,,,,,693,693
HAKAI,CALVERT,693 RSL,,,,,,
HAKAI,CALVERT,693 SURFACE,,,,,,
HAKAI,CALVERT,693 THERMO,,,,,693,693
HAKAI,CALVERT,693 US,,,,,693,693
HAKAI,CALVERT,7,,,,,,
HAKAI,CALVERT,702009,,,,,,
HAKAI,CALVERT,703 1,,,,,,
HAKAI,CALVERT,703 2,,,,,,
HAKAI,CALVERT,703 3,,,,,,
HAKAI,CALVERT,703 4,,,,,,
HAKAI,CALVERT,703 5,,,,,,
HAKAI,CALVERT,703 5P,,,,,,
HAKAI,CALVERT,703 6,,,,,,
HAKAI,CALVERT,703 7,,,,,,
HAKAI,CALVERT,703 8,,,,,,
HAKAI,CALVERT,703 A,,,,,,
HAKAI,CALVERT,703 A0,,,,,,
HAKAI,CALVERT,703 A1,,,,,,
HAKAI,CALVERT,703 B,,,,,,
HAKAI,CALVERT,703 B0,,,,,,
HAKAI,CALVERT,703 B1,,,,,,
HAKAI,CALVERT,703 B5,,,,,,
HAKAI,CALVERT,703 BS,,,,,,
HAKAI,CALVERT,703 C,,,,,,
HAKAI,CALVERT,703 C0,,,,,,
HAKAI,CALVERT,703 C1,,,,,,
HAKAI,CALVERT,703 C5,,,,,,
HAKAI,CALVERT,703 CO21,,,,,703,703
HAKAI,CALVERT,703 CO22,,,,,703,703
HAKAI,CALVERT,703 CO24,,,,,703,703
HAKAI,CALVERT,703 CO27,,,,,703,703
HAKAI,CALVERT,703 CO28,,,,,703,703
HAKAI,CALVERT,703 CO2_1,,,,,703,703
HAKAI,CALVERT,703 CO2_2,,,,,703,703
HAKAI,CALVERT,703 CO2_3,,,,,703,703
HAKAI,CALVERT,703 CO2_4,,,,,703,703
HAKAI,CALVERT,703 CO2_5,,,,,703,703
HAKAI,CALVERT,703 CO2_6,,,,,703,703
HAKAI,CALVERT,703 CO2_7,,,,,703,703
HAKAI,CALVERT,703 CO2_8,,,,,703,703
HAKAI,CALVERT,703 CO2_9,,,,,703,703
HAKAI,CALVERT,703 D,,,,,,
HAKAI,CALVERT,703 D0,,,,,,
HAKAI,CALVERT,703 D1,,,,,,
HAKAI,CALVERT,703 D5,,,,,,
HAKAI,CALVERT,703 DISCHARGEUS,,,,,703,703
HAKAI,CALVERT,703 E,,,,,,
HAKAI,CALVERT,703 E0,,,,,,
HAKAI,CALVERT,703 E1,,,,,,
HAKAI,CALVERT,703 E5,,,,,,
HAKAI,CALVERT,703 F,,,,,,
HAKAI,CALVERT,703 F0,,,,,,
HAKAI,CALVERT,703 F1,,,,,,
HAKAI,CALVERT,703 F5,,,,,,
HAKAI,CALVERT,703 GAS1,,,,,703,703
HAKAI,CALVERT,703 GAS10,,,,,703,703
HAKAI,CALVERT,703 GAS11,,,,,703,703
HAKAI,CALVERT,703 GAS12,,,,,703,703
HAKAI,CALVERT,703 GAS13,,,,,703,703
HAKAI,CALVERT,703 GAS14,,,,,703,703
HAKAI,CALVERT,703 GAS15,,,,,703,703
HAKAI,CALVERT,703 GAS16,,,,,703,703
HAKAI,CALVERT,703 GAS17,,,,,703,703
HAKAI,CALVERT,703 GAS18,,,,,703,703
HAKAI,CALVERT,703 GAS19,,,,,703,703
HAKAI,CALVERT,703 GAS2,,,,,703,703
HAKAI,CALVERT,703 GAS20,,,,,703,703
HAKAI,CALVERT,703 GAS21,,,,,703,703
HAKAI,CALVERT,703 GAS22,,,,,703,703
HAKAI,CALVERT,703 GAS23,,,,,703,703
HAKAI,CALVERT,703 GAS24,,,,,703,703
HAKAI,CALVERT,703 GAS25,,,,,703,703
HAKAI,CALVERT,703 GAS26,,,,,703,703
HAKAI,CALVERT,703 GAS3,,,,,703,703
HAKAI,CALVERT,703 GAS4,,,,,703,703
HAKAI,CALVERT,703 GAS5,,,,,703,703
HAKAI,CALVERT,703 GAS6,,,,,703,703
HAKAI,CALVERT,703 GAS7,,,,,703,703
HAKAI,CALVERT,703 GAS8,,,,,703,703
HAKAI,CALVERT,703 GAS9,,,,,703,703
HAKAI,CALVERT,703 OUTLET,51.6485300000001,-128.026062,,land,,
HAKAI,CALVERT,703 RSL,,,,,,
HAKAI,CALVERT,703 SSN703US,,,,,703,703
HAKAI,CALVERT,703 UPSTREAM,,,,,703,703
HAKAI,CALVERT,703 US,,,,,703,703
HAKAI,CALVERT,703 WTW19,,,,,,
HAKAI,CALVERT,703 WTW20,,,,,,
HAKAI,CALVERT,703 WTW21,,,,,,
HAKAI,CALVERT,703209,,,,,,
HAKAI,CALVERT,708 1,,,,,,
HAKAI,CALVERT,708 1-AS,,,,,,
HAKAI,CALVERT,708 1-RS,,,,,,
HAKAI,CALVERT,708 1AS,,,,,,
HAKAI,CALVERT,708 1RS,,,,,,
HAKAI,CALVERT,708 2,,,,,,
HAKAI,CALVERT,708 2-AS,,,,,,
HAKAI,CALVERT,708 2-RS,,,,,,
HAKAI,CALVERT,708 2AS,,,,,,
HAKAI,CALVERT,708 2RS,,,,,,
HAKAI,CALVERT,708 3,,,,,,
HAKAI,CALVERT,708 3-AS,,,,,,
HAKAI,CALVERT,708 3-RS,,,,,,
HAKAI,CALVERT,708 3AS,,,,,,
HAKAI,CALVERT,708 3P,,,,,,
HAKAI,CALVERT,708 3RS,,,,,,
HAKAI,CALVERT,708 4,,,,,,
HAKAI,CALVERT,708 4-AS,,,,,,
HAKAI,CALVERT,708 4-RS,,,,,,
HAKAI,CALVERT,708 4AS,,,,,,
