organization,work_area,name,latitude,longitude,depth,depth_source,watershid_id,lake_id
HAKAI,CALVERT,1,,,,,,
HAKAI,CALVERT,1008297,,,,,,
HAKAI,CALVERT,10138617,,,,,,
HAKAI,CALVERT,1015 1,,,,,,
HAKAI,CALVERT,1015 2,,,,,,
HAKAI,CALVERT,1015 2P,,,,,,
HAKAI,CALVERT,1015 3S,,,,,,
HAKAI,CALVERT,1015 689,,,,,,
HAKAI,CALVERT,1015 689 ABOVETHERMOCLINE,,,,,1015,689
HAKAI,CALVERT,1015 689 BOTTOM,51.6847300000001,-128.05727,,,1015,689
HAKAI,CALVERT,1015 689 INLETC,51.68639998,-128.052978,,land,1015,689
HAKAI,CALVERT,1015 689 INLETN,51.6898750300001,-128.052391,,land,1015,689
HAKAI,CALVERT,1015 689 INLETNORTH,,,,,1015,689
HAKAI,CALVERT,1015 689 INLETS,51.68185104,-128.059045,,land,1015,689
HAKAI,CALVERT,1015 689 INLETSE,51.6839180100001,-128.05619,,land,1015,689
HAKAI,CALVERT,1015 689 INLETSOUTH,,,,,1015,689
HAKAI,CALVERT,1015 689 INLETSOUTHEAST,,,,,1015,689
HAKAI,CALVERT,1015 689 OUTLET,51.692007,-128.057463,,land,1015,689
HAKAI,CALVERT,1015 689 PHOTIC,,,,,1015,689
HAKAI,CALVERT,1015 689 SURFACE,51.6847300000001,-128.05727,,,1015,689
HAKAI,CALVERT,1015 689 THERMO,,,,,1015,689
HAKAI,CALVERT,1015 689_BOTTOM,,,,,,
HAKAI,CALVERT,1015 689_INLETCENTRAL,,,,,,
HAKAI,CALVERT,1015 689_INLETNORTH,,,,,,
HAKAI,CALVERT,1015 689_INLETSOUTH,,,,,,
HAKAI,CALVERT,1015 689_INLETSOUTHEAST,,,,,,
HAKAI,CALVERT,1015 689_OUTLET,,,,,,
HAKAI,CALVERT,1015 689_SURFACE,,,,,,
HAKAI,CALVERT,1015 892 INLETS,,,,,1015,892
HAKAI,CALVERT,1015 892 INLETSE,,,,,1015,892
HAKAI,CALVERT,1015 892 OUTLET,,,,,1015,892
HAKAI,CALVERT,1015 892 SURFACE,,,,,1015,892
HAKAI,CALVERT,1015 A,,,,,,
HAKAI,CALVERT,1015 ABOVETHERMOCLINE,,,,,1015,1015
HAKAI,CALVERT,1015 B,,,,,,
HAKAI,CALVERT,1015 BOTTOM,,,,,,
HAKAI,CALVERT,1015 C,,,,,,
HAKAI,CALVERT,1015 D,,,,,,
HAKAI,CALVERT,1015 DISCHARGEDOWNSTREAM,,,,,1015,1015
HAKAI,CALVERT,1015 DISCHARGEDS,,,,,1015,1015
HAKAI,CALVERT,1015 DSSITE,,,,,1015,1015
HAKAI,CALVERT,1015 E,,,,,,
HAKAI,CALVERT,1015 ES,,,,,,
HAKAI,CALVERT,1015 H6,,,,,,
HAKAI,CALVERT,1015 H6 BOTTOM,,,,,,
HAKAI,CALVERT,1015 H6 INLET CENTRAL,,,,,,
HAKAI,CALVERT,1015 H6 INLET NORTH,,,,,,
HAKAI,CALVERT,1015 H6 INLET SOUTH,,,,,,
HAKAI,CALVERT,1015 H6 INLET SOUTH EAST,,,,,,
HAKAI,CALVERT,1015 H6 OUTLET,,,,,,
HAKAI,CALVERT,1015 H6 SOUTH INLET,,,,,,
HAKAI,CALVERT,1015 H6 SURFACE,,,,,,
HAKAI,CALVERT,1015 H6BOTTOM,,,,,1015,1015
HAKAI,CALVERT,1015 H6INLETCENTRAL,,,,,1015,1015
HAKAI,CALVERT,1015 H6INLETNORTH,,,,,1015,1015
HAKAI,CALVERT,1015 H6INLETSOUTH,,,,,1015,1015
HAKAI,CALVERT,1015 H6INLETSOUTHEAST,,,,,1015,1015
HAKAI,CALVERT,1015 H6OUTLET,,,,,1015,1015
HAKAI,CALVERT,1015 H6SOUTHINLET,,,,,1015,1015
HAKAI,CALVERT,1015 H6SURFACE,,,,,1015,1015
HAKAI,CALVERT,1015 INLETC,51.68639998,-128.052978,,,,
HAKAI,CALVERT,1015 INLETN,51.6898750300001,-128.052391,,,,
HAKAI,CALVERT,1015 INLETS,51.68185104,-128.059045,,,,
HAKAI,CALVERT,1015 INLETSE,51.6839180100001,-128.05619,,,,
HAKAI,CALVERT,1015 OUTLET,51.690527,-128.067788,,land,,
HAKAI,CALVERT,1015 PHOTIC,,,,,1015,1015
HAKAI,CALVERT,1015 RSL,,,,,,
HAKAI,CALVERT,1015 RSL2,,,,,1015,1015
HAKAI,CALVERT,1015 SURFACE,,,,,,
HAKAI,CALVERT,1015 THERMO,,,,,1015,1015
